image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240702_013037_W_5214A902.VIS.bin_02_01_  ;    1.945 ;  -0.0185 ;  -0.0003 ;     7.18 ;  EUC_LE1_VIS-02391-1-W_20240702T013037.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_014823_W_5214A984.VIS.bin_01_01_  ;    1.973 ;  -0.0240 ;   0.0064 ;    12.28 ;  EUC_LE1_VIS-02391-1-W_20240702T014823.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_020609_W_5214AA00.VIS.bin_01_01_  ;    1.967 ;  -0.0221 ;   0.0055 ;    10.80 ;  EUC_LE1_VIS-02391-1-W_20240702T020609.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_022648_W_5214AA82.VIS.bin_01_01_  ;    1.990 ;  -0.0199 ;   0.0058 ;    26.56 ;  EUC_LE1_VIS-02392-1-W_20240702T022648.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_022648_W_5214AA82.VIS.bin_02_01_  ;    1.978 ;  -0.0210 ;   0.0036 ;    16.03 ;  EUC_LE1_VIS-02392-1-W_20240702T022648.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_024434_W_5214AB02.VIS.bin_01_01_  ;    1.970 ;  -0.0163 ;   0.0032 ;    19.26 ;  EUC_LE1_VIS-02392-1-W_20240702T024434.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_024434_W_5214AB02.VIS.bin_02_01_  ;    1.987 ;  -0.0247 ;   0.0042 ;    15.85 ;  EUC_LE1_VIS-02392-1-W_20240702T024434.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_030220_W_5214AB86.VIS.bin_01_01_  ;    1.995 ;  -0.0238 ;   0.0068 ;    24.34 ;  EUC_LE1_VIS-02392-1-W_20240702T030220.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_032006_W_5214AC08.VIS.bin_01_01_  ;    1.980 ;  -0.0181 ;   0.0049 ;    22.69 ;  EUC_LE1_VIS-02392-1-W_20240702T032006.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_034044_W_5214AC82.VIS.bin_01_01_  ;    1.996 ;  -0.0239 ;   0.0045 ;    22.28 ;  EUC_LE1_VIS-02393-1-W_20240702T034044.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_034044_W_5214AC82.VIS.bin_02_01_  ;    1.972 ;  -0.0193 ;   0.0020 ;    15.43 ;  EUC_LE1_VIS-02393-1-W_20240702T034044.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_035830_W_5214AD02.VIS.bin_01_01_  ;    1.978 ;  -0.0223 ;   0.0053 ;    15.29 ;  EUC_LE1_VIS-02393-1-W_20240702T035830.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_035830_W_5214AD02.VIS.bin_02_01_  ;    1.989 ;  -0.0244 ;  -0.0060 ;    31.21 ;  EUC_LE1_VIS-02393-1-W_20240702T035830.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_041616_W_5214AD84.VIS.bin_01_01_  ;    1.993 ;  -0.0226 ;   0.0035 ;    22.06 ;  EUC_LE1_VIS-02393-1-W_20240702T041616.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_043402_W_5214AE00.VIS.bin_01_01_  ;    1.995 ;  -0.0205 ;   0.0061 ;    29.13 ;  EUC_LE1_VIS-02393-1-W_20240702T043402.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_045440_W_5214AE82.VIS.bin_01_01_  ;    1.966 ;  -0.0198 ;   0.0051 ;    12.79 ;  EUC_LE1_VIS-02394-1-W_20240702T045440.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_045440_W_5214AE82.VIS.bin_02_01_  ;    1.984 ;  -0.0209 ;   0.0038 ;    19.56 ;  EUC_LE1_VIS-02394-1-W_20240702T045440.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_051226_W_5214AF02.VIS.bin_01_01_  ;    1.972 ;  -0.0213 ;   0.0063 ;    14.89 ;  EUC_LE1_VIS-02394-1-W_20240702T051226.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_051226_W_5214AF02.VIS.bin_02_01_  ;    1.951 ;  -0.0192 ;   0.0043 ;     7.08 ;  EUC_LE1_VIS-02394-1-W_20240702T051226.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_053012_W_5214AF86.VIS.bin_01_01_  ;    1.962 ;  -0.0179 ;   0.0036 ;    12.70 ;  EUC_LE1_VIS-02394-1-W_20240702T053012.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_054758_W_5214B008.VIS.bin_01_01_  ;    1.980 ;  -0.0209 ;   0.0062 ;    19.36 ;  EUC_LE1_VIS-02394-1-W_20240702T054758.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_060836_W_5214B082.VIS.bin_01_01_  ;    1.987 ;  -0.0248 ;   0.0103 ;    26.05 ;  EUC_LE1_VIS-02395-1-W_20240702T060836.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_060836_W_5214B082.VIS.bin_02_01_  ;    1.999 ;  -0.0303 ;   0.0040 ;    15.43 ;  EUC_LE1_VIS-02395-1-W_20240702T060836.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_062622_W_5214B102.VIS.bin_01_01_  ;    1.967 ;  -0.0187 ;   0.0052 ;    14.89 ;  EUC_LE1_VIS-02395-1-W_20240702T062622.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_062622_W_5214B102.VIS.bin_02_01_  ;    2.232 ;  -0.0824 ;   0.0294 ;   312.47 ;  EUC_LE1_VIS-02395-1-W_20240702T062622.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_064408_W_5214B184.VIS.bin_01_01_  ;    1.977 ;  -0.0237 ;   0.0067 ;    14.77 ;  EUC_LE1_VIS-02395-1-W_20240702T064408.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_070154_W_5214B200.VIS.bin_01_01_  ;    1.970 ;  -0.0150 ;   0.0056 ;    23.17 ;  EUC_LE1_VIS-02395-1-W_20240702T070154.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_072226_W_5214B282.VIS.bin_01_01_  ;    1.990 ;  -0.0208 ;   0.0054 ;    24.49 ;  EUC_LE1_VIS-02396-1-W_20240702T072226.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_072226_W_5214B282.VIS.bin_02_01_  ;    1.966 ;  -0.0205 ;  -0.0007 ;    13.05 ;  EUC_LE1_VIS-02396-1-W_20240702T072226.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_074012_W_5214B302.VIS.bin_01_01_  ;    1.978 ;  -0.0217 ;   0.0072 ;    18.62 ;  EUC_LE1_VIS-02396-1-W_20240702T074012.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_074012_W_5214B302.VIS.bin_02_01_  ;    1.961 ;  -0.0215 ;   0.0011 ;     8.20 ;  EUC_LE1_VIS-02396-1-W_20240702T074012.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_075758_W_5214B386.VIS.bin_01_01_  ;    1.980 ;  -0.0197 ;   0.0050 ;    19.99 ;  EUC_LE1_VIS-02396-1-W_20240702T075758.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_081544_W_5214B408.VIS.bin_01_01_  ;    1.978 ;  -0.0202 ;   0.0076 ;    21.54 ;  EUC_LE1_VIS-02396-1-W_20240702T081544.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_083615_W_5214B482.VIS.bin_01_01_  ;    1.971 ;  -0.0194 ;   0.0058 ;    16.44 ;  EUC_LE1_VIS-02397-1-W_20240702T083615.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_083615_W_5214B482.VIS.bin_02_01_  ;    1.961 ;  -0.0179 ;   0.0000 ;    13.51 ;  EUC_LE1_VIS-02397-1-W_20240702T083615.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_085401_W_5214B502.VIS.bin_01_01_  ;    2.042 ;  -0.0354 ;   0.0046 ;    36.37 ;  EUC_LE1_VIS-02397-1-W_20240702T085401.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_085401_W_5214B502.VIS.bin_02_01_  ;    1.996 ;  -0.0303 ;   0.0065 ;    16.35 ;  EUC_LE1_VIS-02397-1-W_20240702T085401.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_091147_W_5214B584.VIS.bin_01_01_  ;    1.998 ;  -0.0246 ;   0.0087 ;    28.49 ;  EUC_LE1_VIS-02397-1-W_20240702T091147.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_092933_W_5214B600.VIS.bin_01_01_  ;    3.483 ;   0.0169 ;   0.1454 ; 15917.44 ;  EUC_LE1_VIS-02397-1-W_20240702T092933.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_095004_W_5214B682.VIS.bin_01_01_  ;    1.989 ;  -0.0182 ;   0.0025 ;    27.45 ;  EUC_LE1_VIS-02398-1-W_20240702T095004.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_095004_W_5214B682.VIS.bin_02_01_  ;    1.977 ;  -0.0195 ;   0.0051 ;    18.72 ;  EUC_LE1_VIS-02398-1-W_20240702T095004.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_100750_W_5214B702.VIS.bin_01_01_  ;    7.796 ;  -0.1669 ;  -0.3536 ; 155562.48 ;  EUC_LE1_VIS-02398-1-W_20240702T100750.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_100750_W_5214B702.VIS.bin_02_01_  ;    2.750 ;   0.0057 ;   0.1785 ;  9357.63 ;  EUC_LE1_VIS-02398-1-W_20240702T100750.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_102536_W_5214B786.VIS.bin_01_01_  ;    1.975 ;  -0.0177 ;   0.0051 ;    20.63 ;  EUC_LE1_VIS-02398-1-W_20240702T102536.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_104322_W_5214B800.VIS.bin_01_01_  ;    1.999 ;  -0.0203 ;   0.0047 ;    30.94 ;  EUC_LE1_VIS-02398-1-W_20240702T104322.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_110353_W_5214B882.VIS.bin_01_01_  ;    1.990 ;  -0.0291 ;   0.0053 ;    13.29 ;  EUC_LE1_VIS-02399-1-W_20240702T110353.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_110353_W_5214B882.VIS.bin_02_01_  ;    1.952 ;  -0.0203 ;   0.0026 ;     5.85 ;  EUC_LE1_VIS-02399-1-W_20240702T110353.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_112139_W_5214B902.VIS.bin_01_01_  ;    1.987 ;  -0.0187 ;   0.0034 ;    25.19 ;  EUC_LE1_VIS-02399-1-W_20240702T112139.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_112139_W_5214B902.VIS.bin_02_01_  ;    1.965 ;  -0.0210 ;   0.0006 ;    10.66 ;  EUC_LE1_VIS-02399-1-W_20240702T112139.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_113925_W_5214B984.VIS.bin_01_01_  ;    1.982 ;  -0.0205 ;   0.0038 ;    19.06 ;  EUC_LE1_VIS-02399-1-W_20240702T113925.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_115711_W_5214BA08.VIS.bin_01_01_  ;    1.993 ;  -0.0210 ;   0.0041 ;    25.08 ;  EUC_LE1_VIS-02399-1-W_20240702T115711.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_121744_W_5214BA82.VIS.bin_01_01_  ;    1.986 ;  -0.0226 ;   0.0065 ;    20.50 ;  EUC_LE1_VIS-02400-1-W_20240702T121744.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_121744_W_5214BA82.VIS.bin_02_01_  ;    1.970 ;  -0.0248 ;   0.0045 ;     8.40 ;  EUC_LE1_VIS-02400-1-W_20240702T121744.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_123530_W_5214BB02.VIS.bin_01_01_  ;    1.982 ;  -0.0203 ;   0.0069 ;    22.43 ;  EUC_LE1_VIS-02400-1-W_20240702T123530.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_123530_W_5214BB02.VIS.bin_02_01_  ;    1.985 ;  -0.0209 ;   0.0033 ;    19.99 ;  EUC_LE1_VIS-02400-1-W_20240702T123530.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_125316_W_5214BB86.VIS.bin_01_01_  ;    1.986 ;  -0.0197 ;   0.0038 ;    22.82 ;  EUC_LE1_VIS-02400-1-W_20240702T125316.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_131102_W_5214BC00.VIS.bin_01_01_  ;    1.978 ;  -0.0171 ;   0.0082 ;    28.05 ;  EUC_LE1_VIS-02400-1-W_20240702T131102.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_133132_W_5214BC82.VIS.bin_01_01_  ;    1.978 ;  -0.0184 ;   0.0068 ;    23.19 ;  EUC_LE1_VIS-02401-1-W_20240702T133132.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_133132_W_5214BC82.VIS.bin_02_01_  ;    1.961 ;  -0.0144 ;   0.0042 ;    18.10 ;  EUC_LE1_VIS-02401-1-W_20240702T133132.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_134918_W_5214BD02.VIS.bin_01_01_  ;    1.982 ;  -0.0180 ;   0.0089 ;    30.37 ;  EUC_LE1_VIS-02401-1-W_20240702T134918.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_134918_W_5214BD02.VIS.bin_02_01_  ;    1.968 ;  -0.0206 ;   0.0025 ;    11.60 ;  EUC_LE1_VIS-02401-1-W_20240702T134918.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_140704_W_5214BD84.VIS.bin_01_01_  ;    1.971 ;  -0.0196 ;   0.0073 ;    18.29 ;  EUC_LE1_VIS-02401-1-W_20240702T140704.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_142450_W_5214BE00.VIS.bin_01_01_  ;    1.975 ;  -0.0212 ;   0.0056 ;    15.62 ;  EUC_LE1_VIS-02401-1-W_20240702T142450.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_144524_W_5214BE82.VIS.bin_01_01_  ;    1.981 ;  -0.0215 ;   0.0077 ;    21.36 ;  EUC_LE1_VIS-02402-1-W_20240702T144524.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_144524_W_5214BE82.VIS.bin_02_01_  ;    1.969 ;  -0.0177 ;   0.0005 ;    17.23 ;  EUC_LE1_VIS-02402-1-W_20240702T144524.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_150310_W_5214BF02.VIS.bin_01_01_  ;    1.970 ;  -0.0200 ;   0.0045 ;    13.90 ;  EUC_LE1_VIS-02402-1-W_20240702T150310.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_150310_W_5214BF02.VIS.bin_02_01_  ;    1.982 ;  -0.0206 ;  -0.0013 ;    21.74 ;  EUC_LE1_VIS-02402-1-W_20240702T150310.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_152056_W_5214BF86.VIS.bin_01_01_  ;    7.059 ;   0.1839 ;  -0.1432 ; 145404.22 ;  EUC_LE1_VIS-02402-1-W_20240702T152056.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_153842_W_5214C008.VIS.bin_01_01_  ;    1.995 ;  -0.0245 ;   0.0062 ;    22.41 ;  EUC_LE1_VIS-02402-1-W_20240702T153842.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_155912_W_5214C082.VIS.bin_01_01_  ;    1.982 ;  -0.0214 ;   0.0049 ;    18.31 ;  EUC_LE1_VIS-02403-1-W_20240702T155912.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_155912_W_5214C082.VIS.bin_02_01_  ;    1.962 ;  -0.0191 ;   0.0030 ;    10.93 ;  EUC_LE1_VIS-02403-1-W_20240702T155912.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_161658_W_5214C102.VIS.bin_01_01_  ;    1.981 ;  -0.0198 ;   0.0045 ;    20.02 ;  EUC_LE1_VIS-02403-1-W_20240702T161658.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_161658_W_5214C102.VIS.bin_02_01_  ;    1.991 ;  -0.0298 ;  -0.0068 ;    28.92 ;  EUC_LE1_VIS-02403-1-W_20240702T161658.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_163444_W_5214C184.VIS.bin_01_01_  ;    1.987 ;  -0.0197 ;   0.0077 ;    27.86 ;  EUC_LE1_VIS-02403-1-W_20240702T163444.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_165230_W_5214C200.VIS.bin_01_01_  ;    1.972 ;  -0.0191 ;   0.0042 ;    16.04 ;  EUC_LE1_VIS-02403-1-W_20240702T165230.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_171304_W_5214C282.VIS.bin_01_01_  ;    1.990 ;  -0.0190 ;   0.0061 ;    28.65 ;  EUC_LE1_VIS-02404-1-W_20240702T171304.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_171304_W_5214C282.VIS.bin_02_01_  ;    1.985 ;  -0.0215 ;   0.0116 ;    33.71 ;  EUC_LE1_VIS-02404-1-W_20240702T171304.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_173050_W_5214C302.VIS.bin_01_01_  ;    1.988 ;  -0.0189 ;   0.0054 ;    26.71 ;  EUC_LE1_VIS-02404-1-W_20240702T173050.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_173050_W_5214C302.VIS.bin_02_01_  ;    1.952 ;  -0.0197 ;  -0.0019 ;    10.46 ;  EUC_LE1_VIS-02404-1-W_20240702T173050.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_174836_W_5214C386.VIS.bin_01_01_  ;    1.984 ;  -0.0187 ;   0.0046 ;    23.84 ;  EUC_LE1_VIS-02404-1-W_20240702T174836.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_180622_W_5214C408.VIS.bin_01_01_  ;    1.979 ;  -0.0198 ;   0.0059 ;    20.17 ;  EUC_LE1_VIS-02404-1-W_20240702T180622.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_182707_W_5214C482.VIS.bin_01_01_  ;    1.975 ;  -0.0196 ;   0.0035 ;    16.54 ;  EUC_LE1_VIS-02405-1-W_20240702T182707.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_182707_W_5214C482.VIS.bin_02_01_  ;    1.965 ;  -0.0178 ;  -0.0032 ;    20.72 ;  EUC_LE1_VIS-02405-1-W_20240702T182707.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_184453_W_5214C502.VIS.bin_01_01_  ;    1.977 ;  -0.0210 ;   0.0072 ;    19.11 ;  EUC_LE1_VIS-02405-1-W_20240702T184453.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_184453_W_5214C502.VIS.bin_02_01_  ;    1.981 ;  -0.0319 ;   0.0024 ;     6.91 ;  EUC_LE1_VIS-02405-1-W_20240702T184453.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_190239_W_5214C584.VIS.bin_01_01_  ;    1.980 ;  -0.0178 ;   0.0034 ;    22.45 ;  EUC_LE1_VIS-02405-1-W_20240702T190239.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_192025_W_5214C600.VIS.bin_01_01_  ;    1.979 ;  -0.0251 ;   0.0028 ;    11.15 ;  EUC_LE1_VIS-02405-1-W_20240702T192025.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_194055_W_5214C682.VIS.bin_01_01_  ;    1.973 ;  -0.0179 ;   0.0039 ;    18.36 ;  EUC_LE1_VIS-02406-1-W_20240702T194055.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_194055_W_5214C682.VIS.bin_02_01_  ;    1.986 ;  -0.0301 ;   0.0096 ;    18.43 ;  EUC_LE1_VIS-02406-1-W_20240702T194055.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_195841_W_5214C702.VIS.bin_01_01_  ;    1.988 ;  -0.0253 ;   0.0049 ;    16.07 ;  EUC_LE1_VIS-02406-1-W_20240702T195841.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_195841_W_5214C702.VIS.bin_02_01_  ;    1.960 ;  -0.0211 ;  -0.0029 ;    13.71 ;  EUC_LE1_VIS-02406-1-W_20240702T195841.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_201627_W_5214C786.VIS.bin_01_01_  ;    1.983 ;  -0.0220 ;   0.0084 ;    23.10 ;  EUC_LE1_VIS-02406-1-W_20240702T201627.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_203413_W_5214C808.VIS.bin_01_01_  ;    1.969 ;  -0.0183 ;   0.0045 ;    15.92 ;  EUC_LE1_VIS-02406-1-W_20240702T203413.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_205507_W_5214C882.VIS.bin_01_01_  ;    1.977 ;  -0.0192 ;   0.0032 ;    18.20 ;  EUC_LE1_VIS-02407-1-W_20240702T205507.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_205507_W_5214C882.VIS.bin_02_01_  ;    1.949 ;  -0.0162 ;  -0.0006 ;    11.54 ;  EUC_LE1_VIS-02407-1-W_20240702T205507.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_211253_W_5214C902.VIS.bin_01_01_  ;    1.985 ;  -0.0244 ;   0.0065 ;    17.47 ;  EUC_LE1_VIS-02407-1-W_20240702T211253.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_211253_W_5214C902.VIS.bin_02_01_  ;    1.990 ;  -0.0326 ;   0.0051 ;    10.59 ;  EUC_LE1_VIS-02407-1-W_20240702T211253.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_213039_W_5214C984.VIS.bin_01_01_  ;    1.981 ;  -0.0249 ;   0.0059 ;    14.15 ;  EUC_LE1_VIS-02407-1-W_20240702T213039.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_214825_W_5214CA00.VIS.bin_01_01_  ;    1.976 ;  -0.0196 ;   0.0021 ;    17.04 ;  EUC_LE1_VIS-02407-1-W_20240702T214825.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_220903_W_5214CA82.VIS.bin_01_01_  ;    1.970 ;  -0.0202 ;   0.0045 ;    13.63 ;  EUC_LE1_VIS-02408-1-W_20240702T220903.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_220903_W_5214CA82.VIS.bin_02_01_  ;    1.979 ;  -0.0224 ;   0.0035 ;    14.53 ;  EUC_LE1_VIS-02408-1-W_20240702T220903.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_222649_W_5214CB02.VIS.bin_01_01_  ;    1.978 ;  -0.0198 ;   0.0070 ;    21.15 ;  EUC_LE1_VIS-02408-1-W_20240702T222649.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_222649_W_5214CB02.VIS.bin_02_01_  ;    1.992 ;  -0.0330 ;   0.0100 ;    19.96 ;  EUC_LE1_VIS-02408-1-W_20240702T222649.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_224435_W_5214CB86.VIS.bin_01_01_  ;    1.969 ;  -0.0224 ;   0.0069 ;    13.10 ;  EUC_LE1_VIS-02408-1-W_20240702T224435.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_230221_W_5214CC00.VIS.bin_01_01_  ;    1.974 ;  -0.0220 ;   0.0065 ;    15.19 ;  EUC_LE1_VIS-02408-1-W_20240702T230221.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_232259_W_5214CC82.VIS.bin_01_01_  ;    1.966 ;  -0.0217 ;   0.0059 ;    11.29 ;  EUC_LE1_VIS-02409-1-W_20240702T232259.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_232259_W_5214CC82.VIS.bin_02_01_  ;    1.957 ;  -0.0225 ;  -0.0030 ;    11.59 ;  EUC_LE1_VIS-02409-1-W_20240702T232259.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_234045_W_5214CD02.VIS.bin_01_01_  ;    1.967 ;  -0.0172 ;   0.0048 ;    16.86 ;  EUC_LE1_VIS-02409-1-W_20240702T234045.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_234045_W_5214CD02.VIS.bin_02_01_  ;    1.951 ;  -0.0170 ;   0.0027 ;     9.18 ;  EUC_LE1_VIS-02409-1-W_20240702T234045.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_235831_W_5214CD84.VIS.bin_01_01_  ;    1.979 ;  -0.0230 ;   0.0051 ;    14.67 ;  EUC_LE1_VIS-02409-1-W_20240702T235831.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_001617_W_5214CE08.VIS.bin_01_01_  ;    1.963 ;  -0.0177 ;   0.0041 ;    13.67 ;  EUC_LE1_VIS-02409-1-W_20240703T001617.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_003705_W_5214CE82.VIS.bin_01_01_  ;    1.986 ;  -0.0210 ;   0.0081 ;    25.76 ;  EUC_LE1_VIS-02410-1-W_20240703T003705.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_003705_W_5214CE82.VIS.bin_02_01_  ;    1.988 ;  -0.0284 ;  -0.0001 ;    13.31 ;  EUC_LE1_VIS-02410-1-W_20240703T003705.000000Z_02_01_01.00_EUCLIDSOC
C_20240703_005451_W_5214CF02.VIS.bin_01_01_  ;    1.982 ;  -0.0213 ;   0.0054 ;    18.92 ;  EUC_LE1_VIS-02410-1-W_20240703T005451.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_005451_W_5214CF02.VIS.bin_02_01_  ;    1.960 ;  -0.0163 ;   0.0014 ;    14.36 ;  EUC_LE1_VIS-02410-1-W_20240703T005451.000000Z_02_01_01.00_EUCLIDSOC
C_20240703_011237_W_5214CF86.VIS.bin_01_01_  ;    1.987 ;  -0.0225 ;   0.0065 ;    21.21 ;  EUC_LE1_VIS-02410-1-W_20240703T011237.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_013023_W_5214D000.VIS.bin_01_01_  ;    1.978 ;  -0.0177 ;   0.0055 ;    22.77 ;  EUC_LE1_VIS-02410-1-W_20240703T013023.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_015101_W_5214D082.VIS.bin_01_01_  ;    1.971 ;  -0.0174 ;   0.0061 ;    19.98 ;  EUC_LE1_VIS-02411-1-W_20240703T015101.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_015101_W_5214D082.VIS.bin_02_01_  ;    1.969 ;  -0.0210 ;   0.0023 ;    11.56 ;  EUC_LE1_VIS-02411-1-W_20240703T015101.000000Z_02_01_01.00_EUCLIDSOC
C_20240703_020847_W_5214D102.VIS.bin_01_01_  ;    1.984 ;  -0.0209 ;   0.0073 ;    23.26 ;  EUC_LE1_VIS-02411-1-W_20240703T020847.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_020847_W_5214D102.VIS.bin_02_01_  ;    1.997 ;  -0.0268 ;   0.0012 ;    18.53 ;  EUC_LE1_VIS-02411-1-W_20240703T020847.000000Z_02_01_01.00_EUCLIDSOC
C_20240703_022633_W_5214D184.VIS.bin_01_01_  ;    1.967 ;  -0.0178 ;   0.0058 ;    16.87 ;  EUC_LE1_VIS-02411-1-W_20240703T022633.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_024419_W_5214D200.VIS.bin_01_01_  ;    1.984 ;  -0.0183 ;   0.0058 ;    25.70 ;  EUC_LE1_VIS-02411-1-W_20240703T024419.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_030457_W_5214D282.VIS.bin_01_01_  ;    1.978 ;  -0.0214 ;   0.0050 ;    16.27 ;  EUC_LE1_VIS-02412-1-W_20240703T030457.000000Z_01_01_01.00_EUCLIDSOC
C_20240703_030457_W_5214D282.VIS.bin_02_01_  ;    1.966 ;  -0.0197 ;  -0.0019 ;    15.90 ;  EUC_LE1_VIS-02412-1-W_20240703T030457.000000Z_02_01_01.00_EUCLIDSOC
